,job_no,roles,companies,locations,experience,salaries,skills
0,1,"data scientist, marketing",coursera,"kolkata, mumbai, new delhi, hyderabad/secunderabad, pune, chennai, bangalore/bengaluru",4-6 yrs,not disclosed,"data analysis,data science,troubleshooting,analytics,monitoring,sql,python,salesforce"
1,2,data scientist,tech mahindra,"hybrid - hyderabad, pune, bengaluru",6-10 yrs,not disclosed,"ml engineer,deep learning,generarative ai,genai,mlops,ml ops,natural language processing,cloud"
2,3,data scientist-senior associate - p&t labs,pwc service delivery center,"mumbai, hyderabad, bengaluru",4-6 yrs,not disclosed,"automation,gcp,analytical,process improvement,machine learning,signal processing,data mining,sql"
3,4,data scientist,infosys,"hybrid - hyderabad, pune, bengaluru",4-8 yrs,not disclosed,"oops,machine learning,python,data,machine"
4,5,data scientist hthd,ford,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",1-4 yrs,not disclosed,"computer science,gcp,analytical,artificial intelligence,agile,algorithm development,business solutions,operations"
5,6,nlp data scientist - real world data (rwd),agilite global solutions,"kolkata, mumbai, new delhi, hyderabad/secunderabad, pune, chennai, bangalore/bengaluru",7-8 yrs,not disclosed,"computer science,health insurance,pharma,analytical,agile,healthcare,life sciences,open source"
6,7,ds - nlp expert,genpact,"hyderabad, telangana, gurugram, haryana, bangalore/ bengaluru, karnataka",6-11 yrs,not disclosed,"natural language processing,nltk,rnn,lstm,llms,artificial intelligence,text mining,bert"
7,8,generative ai data scientist,genpact,"hyderabad, gurugram, bengaluru",8-13 yrs,not disclosed,"generative ai,llm,predictive modeling,natural language processing,computer vision,machine learning,processing,vision"
8,9,advisory service senior consultant - data scientist,optum,hyderabad,8-12 yrs,not disclosed,"machine learning,algorithms,data science,natural language processing,pandas,scikit-learn,data structures,spark"
9,10,lead data scientist,cornerstone,"mumbai, hyderabad, pune",6-9 yrs,not disclosed,"artificial intelligence,natural language processing,machine learning,processing,intelligence,languages,process,machine"
10,11,principal data scientist,optum,hyderabad,7-12 yrs,not disclosed,"career development,deep learning,diversity and inclusion,machine learning,manager technology,healthcare,subject matter expertise,forecasting"
11,12,advisory service senior consultant- data scientist,optum,hyderabad,8-9 yrs,not disclosed,"mining,statistical programming,computer science,career development,business transformation,team management,machine learning,issue resolution"
12,13,hexaware_ looking immediate joiners -data scientist nlp/genai_panindia,hexaware technologies,"hybrid - navi mumbai, pune, chennai",4-9 yrs,not disclosed,"genai,llm,data scientist,transformers,bert,machine learning,deep learning,data science"
13,14,data scientist,response informatics,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",0-5 yrs,not disclosed,"deep learning,tdd,deployment,natural language processing,test driven development,mongodb,sql,python"
14,15,data scientist-immediate joiner-l1(hackerrank)-please check your email,altimetrik,"hybrid - hyderabad, chennai, bengaluru",5-8 yrs,not disclosed,"python,nlp,generative ai,machine learning,sql,email,natural language processing,check"
15,16,nrm - price and promo - data scientist,pepsico,hyderabad,6-9 yrs,not disclosed,"data analytics,r,excel,power bi,pricing,revenue management,data visualization,machine learning"
16,17,data scientist,digital glyde,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",3-7 yrs,not disclosed,"data analysis,operations research,social science,analytical,report writing,mysql,cloud,database"
17,18,associate manager / senior data scientist (cpg),trendence,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",5-11 yrs,not disclosed,"data analysis,data management,analytical,machine learning,data structures,predictive modeling,troubleshooting,data mining"
18,19,data scientist,coders brain pvt ltd,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",5-10 yrs,not disclosed,"hypothesis testing,predictive modeling,predictive,hypothesis,data,modeling,software testing"
19,20,data scientist professional,coders brain pvt ltd,"kolkata, mumbai, new delhi, hyderabad/secunderabad, pune, chennai, bangalore/bengaluru",5-9 yrs,not disclosed,"deep learning,payroll,data management,neural networks,artificial intelligence,consulting,machine learning,aws"
20,21,"data scientist, marketing",coursera,"kolkata, mumbai, new delhi, hyderabad/secunderabad, pune, chennai, bangalore/bengaluru",4-6 yrs,not disclosed,"data analysis,data science,troubleshooting,analytics,monitoring,sql,python,salesforce"
21,22,data scientist,tech mahindra,"hybrid - hyderabad, pune, bengaluru",6-10 yrs,not disclosed,"ml engineer,deep learning,generarative ai,genai,mlops,ml ops,natural language processing,cloud"
22,23,data scientist-senior associate - p&t labs,pwc service delivery center,"mumbai, hyderabad, bengaluru",4-6 yrs,not disclosed,"automation,gcp,analytical,process improvement,machine learning,signal processing,data mining,sql"
23,24,data scientist,infosys,"hybrid - hyderabad, pune, bengaluru",4-8 yrs,not disclosed,"oops,machine learning,python,data,machine"
24,25,data scientist hthd,ford,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",1-4 yrs,not disclosed,"computer science,gcp,analytical,artificial intelligence,agile,algorithm development,business solutions,operations"
25,26,nlp data scientist - real world data (rwd),agilite global solutions,"kolkata, mumbai, new delhi, hyderabad/secunderabad, pune, chennai, bangalore/bengaluru",7-8 yrs,not disclosed,"computer science,health insurance,pharma,analytical,agile,healthcare,life sciences,open source"
26,27,ds - nlp expert,genpact,"hyderabad, telangana, gurugram, haryana, bangalore/ bengaluru, karnataka",6-11 yrs,not disclosed,"natural language processing,nltk,rnn,lstm,llms,artificial intelligence,text mining,bert"
27,28,generative ai data scientist,genpact,"hyderabad, gurugram, bengaluru",8-13 yrs,not disclosed,"generative ai,llm,predictive modeling,natural language processing,computer vision,machine learning,processing,vision"
28,29,advisory service senior consultant - data scientist,optum,hyderabad,8-12 yrs,not disclosed,"machine learning,algorithms,data science,natural language processing,pandas,scikit-learn,data structures,spark"
29,30,lead data scientist,cornerstone,"mumbai, hyderabad, pune",6-9 yrs,not disclosed,"artificial intelligence,natural language processing,machine learning,processing,intelligence,languages,process,machine"
30,31,principal data scientist,optum,hyderabad,7-12 yrs,not disclosed,"career development,deep learning,diversity and inclusion,machine learning,manager technology,healthcare,subject matter expertise,forecasting"
31,32,advisory service senior consultant- data scientist,optum,hyderabad,8-9 yrs,not disclosed,"mining,statistical programming,computer science,career development,business transformation,team management,machine learning,issue resolution"
32,33,hexaware_ looking immediate joiners -data scientist nlp/genai_panindia,hexaware technologies,"hybrid - navi mumbai, pune, chennai",4-9 yrs,not disclosed,"genai,llm,data scientist,transformers,bert,machine learning,deep learning,data science"
33,34,data scientist,response informatics,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",0-5 yrs,not disclosed,"deep learning,tdd,deployment,natural language processing,test driven development,mongodb,sql,python"
34,35,data scientist-immediate joiner-l1(hackerrank)-please check your email,altimetrik,"hybrid - hyderabad, chennai, bengaluru",5-8 yrs,not disclosed,"python,nlp,generative ai,machine learning,sql,email,natural language processing,check"
35,36,nrm - price and promo - data scientist,pepsico,hyderabad,6-9 yrs,not disclosed,"data analytics,r,excel,power bi,pricing,revenue management,data visualization,machine learning"
36,37,data scientist,digital glyde,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",3-7 yrs,not disclosed,"data analysis,operations research,social science,analytical,report writing,mysql,cloud,database"
37,38,associate manager / senior data scientist (cpg),trendence,"kolkata, mumbai, new delhi, hyderabad, pune, chennai, bengaluru",5-11 yrs,not disclosed,"data analysis,data management,analytical,machine learning,data structures,predictive modeling,troubleshooting,data mining"
