,roles,companies,locations,experience,skills
0,"senior / lead data scientist - data analysis, machine learning",here technologies,"['mumbai', ' mumbai city']",4-9 yrs,"['it skills', 'python', 'data science', 'machine learning', 'cloud', 'big data', 'aws', 'statistical modeling']"
1,gig opportunity - internal audit: data scientist - data modelling,axis bank limited,"['chennai', ' pune', ' delhi ncr', ' mumbai', ' ahmedabad', ' bengaluru', ' chandigarh', ' hyderabad', ' kolkata']",5-10 yrs,"['data science', 'r', 'report generation', 'risk assessment', 'artificial intelligence', 'control testing', 'data modeling', 'machine learning']"
2,data scientist/ data analyst,cars24,['gurgaon gurugram'],1-5 yrs,"['data science', 'predictive modeling', 'data scientist', 'data management', 'big data', 'tableau', 'data analytics', 'analytics']"
3,data scientist - image recognition/machine learning,carbynetech india,['hyderabad'],5-10 yrs,"['it skills', 'java', 'python', 'machine learning', 'artificial intelligence', 'nlp', 'data scientist', 'time series analysis']"
4,data scientist - image processing/ machine learning,carbynetech india,['hyderabad'],6-11 yrs,"['predictive modeling', 'data science', 'data scientist', 'time series analysis', 'image processing', 'data management', 'statistical analyst', 'machine learning']"
5,data scientist - image processing/machine learning,carbynetech india,['hyderabad'],6-11 yrs,"['predictive modeling', 'data science', 'data scientist', 'time series analysis', 'image processing', 'data management', 'statistical analyst', 'machine learning']"
6,senior data scientist,tvs credit,"['chennai', ' pune', ' bengaluru']",4-9 yrs,"['big data analytics', 'hadoop', 'data transformation services', 'data acquisition', 'machine learning', 'sql', 'nosql', 'data scientist']"
7,senior data scientist - machine learning/deep learning,tekion,['bengaluru'],5-9 yrs,"['it skills', 'python', 'data science', 'machine learning', 'big data', 'data science', 'nlp', 'data scientist']"
8,data scientist/ analyst - crmnext - 2-5 years - mumbai,acidaes solutions pvt. ltd.,"['mumbai suburbs', ' navi mumbai', ' mumbai']",2-5 yrs,"['it skills', 'python', 'cloud', 'big data', 'data science', 'data scientist', 'data analyst', 'machine learning']"
9,"senior data scientist, rider analytics",uber,['bengaluru'],5-10 yrs,"['computer science', 'product engineering', 'data science', 'management', 'hypothesis testing', 'statistics', 'analytics', 'sql']"
